"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14043834","JJ507485","2025-11-30T00:00:00.000","023XX S KOSTNER AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1013","010","22","29","08B","1147429","1888003","2025","2025-12-07T15:47:28.000","41.848638477","-87.734415697","
,  
(41.848638477, -87.734415697)"
"14044615","JJ508541","2025-11-30T00:00:00.000","026XX N AVONDALE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","STREET","false","false","1411","014","1","22","14","1158469","1917698","2025","2025-12-07T15:47:28.000","41.9299058","-87.693084659","
,  
(41.9299058, -87.693084659)"
"14043807","JJ507571","2025-11-30T00:00:00.000","093XX S DR MARTIN LUTHER KING JR DR","0820","THEFT","$500 AND UNDER","STREET","false","false","0633","006","6","49","06","1180553","1843226","2025","2025-12-07T15:47:28.000","41.725067934","-87.614223244","
,  
(41.725067934, -87.614223244)"
"14044357","JJ508078","2025-11-30T00:00:00.000","046XX N MALDEN ST","0810","THEFT","OVER $500","STREET","false","false","1913","019","46","3","06","1166692","1930863","2025","2025-12-07T15:47:28.000","41.96585868","-87.662488731","
,  
(41.96585868, -87.662488731)"
"14043153","JJ506744","2025-11-30T00:00:00.000","063XX S KEDZIE AVE","2170","NARCOTICS","POSSESSION OF DRUG EQUIPMENT","SIDEWALK","true","false","0823","008","14","66","18","1156148","1862259","2025","2025-12-07T15:47:28.000","41.777822236","-87.703108989","
,  
(41.777822236, -87.703108989)"
"14043075","JJ506639","2025-11-30T00:00:00.000","050XX S WOODLAWN AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0222","002","4","39","06","1185082","1871991","2025","2025-12-07T15:47:28.000","41.803896788","-87.596731315","
,  
(41.803896788, -87.596731315)"
"14044048","JJ507897","2025-11-30T00:00:00.000","047XX W ERIE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","false","false","1111","011","28","25","14","1144600","1903891","2025","2025-12-07T15:47:28.000","41.892290812","-87.74439841","
,  
(41.892290812, -87.74439841)"
"14047399","JJ509799","2025-11-30T00:00:00.000","007XX S WELLS ST","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0123","001","34","32","07","1174827","1897053","2025","2025-12-07T15:47:28.000","41.872903956","-87.633592535","
,  
(41.872903956, -87.633592535)"
"14043181","JJ506658","2025-11-30T00:00:00.000","119XX S LAFAYETTE AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","0522","005","9","53","08A","1178065","1825701","2025","2025-12-07T15:47:28.000","41.677033541","-87.623865592","
,  
(41.677033541, -87.623865592)"
"14042893","JJ506379","2025-11-30T00:00:00.000","039XX W 70TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","0833","008","23","65","08B","1151271","1857891","2025","2025-12-07T15:47:28.000","41.765932432","-87.721102378","
,  
(41.765932432, -87.721102378)"
"14044395","JJ508194","2025-11-30T00:00:00.000","007XX W MONTROSE AVE","1563","SEX OFFENSE","CRIMINAL SEXUAL ABUSE","NURSING / RETIREMENT HOME","false","false","1915","019","46","3","17","1170527","1929439","2025","2025-12-07T15:47:28.000","41.961867922","-87.648430138","
,  
(41.961867922, -87.648430138)"
